比赛类别,对手,序号,胜负,球员,出场时间,投篮,三分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,正负值
季后赛,热火,G1,胜,怀特,33,6/10,4/8,4/4,0,3,3,4,1,0,3,1,20,24
季后赛,热火,G1,胜,霍乐迪,33,2/8,2/4,0/0,2,5,7,3,0,2,1,2,6,13
季后赛,热火,G1,胜,塔特姆,41,7/18,1/8,8/8,1,9,10,10,4,2,3,0,23,3
季后赛,热火,G1,胜,布朗,34,6/12,3/5,2/4,2,6,8,3,1,0,1,1,17,17
季后赛,热火,G1,胜,波尔津吉斯,34,7/13,4/8,0/0,1,3,4,1,3,1,2,2,18,17
季后赛,热火,G1,胜,霍福德,26,4/8,2/5,0/0,2,5,7,0,0,0,0,0,10,2
季后赛,热火,G1,胜,普理查德,24,3/7,2/5,0/0,1,3,4,5,1,0,0,0,8,19
季后赛,热火,G1,胜,豪瑟,14,4/6,4/6,0/0,1,0,1,1,0,1,0,0,12,5
季后赛,热火,G2,负,霍乐迪,37,4/12,1/4,0/0,0,3,3,2,4,2,2,1,9,10
季后赛,热火,G2,负,怀特,36,5/8,2/4,1/1,0,1,1,4,2,1,1,1,13,-23
季后赛,热火,G2,负,塔特姆,41,10/20,2/6,6/8,0,8,8,3,3,0,3,1,28,6
季后赛,热火,G2,负,布朗,37,13/23,4/9,3/6,3,5,8,1,1,1,3,1,33,-22
季后赛,热火,G2,负,波尔津吉斯,30,1/9,0/4,4/4,2,6,8,4,3,3,2,2,6,-32
季后赛,热火,G2,负,霍福德,23,2/3,1/1,1/2,1,7,8,3,0,1,1,1,6,8
季后赛,热火,G2,负,普理查德,20,0/0,0/0,0/0,0,1,1,3,4,0,0,0,0,-5
季后赛,热火,G2,负,豪瑟,15,2/5,2/4,0/0,0,2,2,1,0,1,0,1,6,8
季后赛,热火,G3,胜,霍乐迪,35,1/5,1/3,0/0,0,2,2,6,1,1,2,2,3,23
季后赛,热火,G3,胜,怀特,31,7/14,2/7,0/0,3,2,5,3,0,0,0,0,16,7
季后赛,热火,G3,胜,塔特姆,39,6/16,2/7,8/12,0,11,11,6,3,0,0,1,22,22
季后赛,热火,G3,胜,布朗,33,11/20,0/4,0/1,2,6,8,3,2,2,1,1,22,6
季后赛,热火,G3,胜,波尔津吉斯,27,5/9,3/4,5/6,1,4,5,2,3,1,0,2,18,12
季后赛,热火,G3,胜,普理查德,25,3/5,1/2,0/0,2,1,3,1,3,0,2,0,7,6
季后赛,热火,G3,胜,霍福德,22,4/7,1/4,0/0,2,4,6,1,0,0,0,0,9,15
季后赛,热火,G3,胜,豪瑟,20,2/6,1/5,0/0,0,0,0,0,4,0,0,0,5,15
季后赛,热火,G4,胜,怀特,41,15/26,8/15,0/0,1,3,4,3,3,0,1,3,38,10
季后赛,热火,G4,胜,霍乐迪,38,4/10,1/4,2/2,2,4,6,6,3,1,0,0,11,4
季后赛,热火,G4,胜,布朗,39,7/18,1/3,2/4,2,3,5,2,3,2,6,0,17,17
季后赛,热火,G4,胜,塔特姆,37,5/14,2/6,8/8,0,11,11,5,3,0,1,0,20,12
季后赛,热火,G4,胜,波尔津吉斯,14,1/5,1/3,4/4,0,3,3,0,1,0,0,0,7,9
季后赛,热火,G4,胜,霍福德,34,3/5,1/3,0/0,1,7,8,2,4,1,1,0,7,15
季后赛,热火,G4,胜,普理查德,18,0/4,0/1,0/0,2,0,2,3,1,1,1,0,0,10
季后赛,热火,G4,胜,豪瑟,16,0/2,0/2,0/0,0,3,3,0,1,0,0,0,0,-3
季后赛,热火,G4,胜,科内特,3,1/2,0/0,0/0,3,1,4,0,1,0,0,0,2,-4
季后赛,热火,G5,胜,霍乐迪,34,3/5,2/4,2/2,3,3,6,5,3,1,2,0,10,22
季后赛,热火,G5,胜,怀特,29,8/13,5/10,4/5,0,5,5,2,2,1,1,0,25,17
季后赛,热火,G5,胜,塔特姆,32,4/9,2/4,6/9,0,12,12,3,2,0,2,1,16,35
季后赛,热火,G5,胜,布朗,26,11/19,1/7,2/5,0,6,6,2,2,0,5,0,25,14
季后赛,热火,G5,胜,霍福德,23,3/4,1/2,1/2,1,5,6,3,1,1,0,0,8,10
季后赛,热火,G5,胜,普理查德,27,2/8,0/3,3/4,0,3,3,3,1,0,1,0,7,19
季后赛,热火,G5,胜,豪瑟,20,6/10,5/8,0/0,0,5,5,1,0,0,0,0,17,25
季后赛,热火,G5,胜,科内特,18,1/1,0/0,0/0,1,6,7,2,1,0,1,1,2,21
季后赛,热火,G5,胜,米哈伊柳克,10,0/2,0/2,0/0,1,0,1,1,1,1,1,0,0,1
季后赛,热火,G5,胜,斯普林格,8,1/1,0/0,0/0,0,1,1,0,1,0,1,0,2,4
季后赛,热火,G5,胜,蒂尔曼,7,1/1,0/0,0/0,0,1,1,1,1,1,0,1,2,3
季后赛,热火,G5,胜,布里塞特,5,2/4,0/0,0/0,2,1,3,0,0,0,0,0,4,-1
季后赛,骑士,G1,胜,霍乐迪,36,6/14,2/7,0/0,2,4,6,2,2,0,0,1,14,14
