赛别,序号,对手,胜负,球员,出场时间,投篮,三分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分
常规赛,1,尼克斯,胜,霍乐迪,35,4/10,1/5,3/4,2,2,4,2,3,0,2,3,9
常规赛,1,尼克斯,胜,怀特,32,4/6,1/3,3/4,0,6,6,2,3,2,1,1,12
常规赛,1,尼克斯,胜,塔特姆,39,13/22,3/8,5/6,0,11,11,4,3,2,4,1,34
常规赛,1,尼克斯,胜,布朗,38,4/11,0/4,3/4,0,6,6,5,5,1,2,0,11
常规赛,1,尼克斯,胜,波尔津吉斯,38,8/15,5/9,9/10,1,7,8,0,4,0,1,4,30
常规赛,1,尼克斯,胜,霍福德,26,3/4,2/3,0/0,3,4,7,2,2,0,3,0,8
常规赛,1,尼克斯,胜,豪瑟,14,0/4,0/4,0/0,0,2,2,0,1,1,0,1,0
常规赛,1,尼克斯,胜,普理查德,11,1/4,0/3,2/2,0,1,1,1,1,0,0,0,4
常规赛,1,尼克斯,胜,科内特,8,0/1,0/0,0/0,1,0,1,2,0,0,0,1,0
常规赛,2,热火,胜,霍乐迪,36,7/13,1/4,2/2,2,8,10,7,2,0,1,1,17
常规赛,2,热火,胜,怀特,36,9/15,5/7,5/6,3,3,6,3,1,1,2,3,28
常规赛,2,热火,胜,塔特姆,41,9/22,3/10,1/3,0,8,8,5,4,1,2,0,22
常规赛,2,热火,胜,布朗,34,11/22,3/7,2/4,2,4,6,1,1,2,4,0,27
常规赛,2,热火,胜,波尔津吉斯,30,6/12,2/6,3/4,3,6,9,1,6,3,1,1,17
常规赛,2,热火,胜,霍福德,25,0/6,0/2,0/0,3,7,10,2,1,0,3,1,0
常规赛,2,热火,胜,布里塞特,14,1/2,0/0,0/0,3,2,5,0,1,0,2,0,2
常规赛,2,热火,胜,普理查德,13,1/1,1/1,0/0,0,0,0,1,2,0,0,0,3
常规赛,2,热火,胜,豪瑟,10,1/2,1/2,0/0,0,1,1,0,1,0,0,0,3
常规赛,3,奇才,胜,霍乐迪,27,4/7,1/3,2/2,1,4,5,3,1,1,1,2,11
常规赛,3,奇才,胜,怀特,24,2/3,1/2,0/0,1,0,1,8,1,2,2,1,5
常规赛,3,奇才,胜,布朗,32,13/24,8/13,2/4,0,6,6,2,3,3,0,1,36
常规赛,3,奇才,胜,塔特姆,28,14/21,4/9,1/1,0,6,6,3,2,0,2,0,33
常规赛,3,奇才,胜,波尔津吉斯,24,7/9,1/2,0/0,0,6,6,3,2,0,2,1,15
常规赛,3,奇才,胜,豪瑟,25,3/10,2/9,0/0,3,5,8,1,3,0,1,1,8
常规赛,3,奇才,胜,普理查德,25,0/8,0/6,0/0,1,6,7,6,3,1,4,0,0
常规赛,3,奇才,胜,霍福德,16,4/9,0/3,0/0,4,1,5,1,1,2,0,0,8
常规赛,3,奇才,胜,科内特,11,0/0,0/0,0/0,0,1,1,1,1,0,1,0,0
常规赛,3,奇才,胜,布里塞特,10,0/4,0/2,0/0,1,1,2,1,2,1,0,0,0
常规赛,3,奇才,胜,班顿,10,1/3,0/1,0/0,2,0,2,1,1,0,1,0,2
常规赛,3,奇才,胜,史蒂文斯,6,2/2,1/1,0/0,2,0,2,0,1,0,3,0,5
常规赛,3,奇才,胜,米哈伊柳克,5,1/2,1/2,0/0,0,0,0,1,0,1,0,0,3
常规赛,4,步行者,胜,怀特,27,7/10,4/7,0/0,1,2,3,4,3,0,2,0,18
常规赛,4,步行者,胜,霍乐迪,25,6/9,3/4,0/0,0,7,7,4,0,0,1,1,15
常规赛,4,步行者,胜,塔特姆,27,9/15,3/5,9/10,2,10,12,4,1,0,2,0,30
常规赛,4,步行者,胜,布朗,25,7/15,0/1,2/2,1,6,7,1,3,0,2,0,16
常规赛,4,步行者,胜,波尔津吉斯,27,3/7,1/3,6/6,1,5,6,2,3,0,2,0,13
常规赛,4,步行者,胜,普理查德,26,6/10,2/3,1/1,1,3,4,9,2,0,0,0,15
常规赛,4,步行者,胜,布里塞特,20,1/4,0/1,2/2,0,1,1,0,0,2,0,0,4
常规赛,4,步行者,胜,豪瑟,19,5/7,5/6,2/2,0,3,3,0,3,1,1,0,17
常规赛,4,步行者,胜,霍福德,11,1/3,1/1,2/2,2,2,4,0,0,1,1,1,5
常规赛,4,步行者,胜,米哈伊柳克,11,2/6,1/4,0/0,0,3,3,0,0,0,0,0,5
常规赛,4,步行者,胜,班顿,8,4/4,0/0,3/3,0,3,3,1,2,1,0,0,11
常规赛,4,步行者,胜,史蒂文斯,7,2/4,0/0,0/0,2,0,2,2,2,0,0,0,4
常规赛,4,步行者,胜,科内特,6,1/1,0/0,0/0,1,1,2,0,0,0,0,0,2
常规赛,5,篮网,胜,霍乐迪,40,6/15,4/9,2/2,4,5,9,10,1,0,3,1,18
常规赛,5,篮网,胜,布朗,35,7/22,2/11,7/8,0,5,5,4,4,0,2,1,23
常规赛,5,篮网,胜,塔特姆,41,10/20,2/11,7/8,1,10,11,1,1,0,3,0,32
常规赛,5,篮网,胜,霍福德,30,4/7,0/3,0/0,2,5,7,3,1,1,0,1,8
常规赛,5,篮网,胜,波尔津吉斯,30,8/10,1/2,5/8,2,5,7,1,2,0,1,3,22
常规赛,5,篮网,胜,普理查德,19,0/4,0/4,0/0,0,0,0,2,2,0,1,0,0
常规赛,5,篮网,胜,豪瑟,19,2/3,1/2,0/0,0,1,1,0,3,2,1,0,5
常规赛,5,篮网,胜,科内特,15,5/5,0/0,1/1,0,7,7,0,3,1,0,0,11
常规赛,5,篮网,胜,布里塞特,10,1/4,1/4,2/2,1,2,3,1,0,0,0,0,5
常规赛,6,森林狼,负,霍乐迪,42,4/16,0/4,4/6,3,8,11,6,3,1,3,0,12
常规赛,6,森林狼,负,布朗,39,10/21,3/8,3/4,0,7,7,4,5,1,3,0,26
常规赛,6,森林狼,负,塔特姆,43,12/22,2/8,6/8,0,5,5,2,2,5,6,0,32
常规赛,6,森林狼,负,霍福德,36,1/5,1/4,0/0,2,3,5,4,4,1,2,0,3
常规赛,6,森林狼,负,波尔津吉斯,36,5/14,2/6,8/10,1,4,5,1,5,1,1,1,20
常规赛,6,森林狼,负,豪瑟,25,3/8,3/8,2/2,1,3,4,0,3,1,1,1,11
常规赛,6,森林狼,负,普理查德,20,0/3,0/1,0/0,3,3,6,3,2,0,0,0,0
常规赛,6,森林狼,负,科内特,16,1/2,0/0,3/4,1,0,1,0,2,2,0,0,5
常规赛,6,森林狼,负,史蒂文斯,4,0/1,0/0,0/0,0,1,1,0,0,1,0,0,0
常规赛,6,森林狼,负,米哈伊柳克,4,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0
常规赛,7,76人,负,怀特,38,6/18,3/11,4/4,1,3,4,5,3,2,2,1,19
常规赛,7,76人,负,霍乐迪,35,4/9,2/3,2/2,1,4,5,5,1,1,2,0,12
常规赛,7,76人,负,塔特姆,37,6/14,2/6,2/3,1,14,15,6,2,3,2,0,16
常规赛,7,76人,负,布朗,36,4/13,2/7,1/2,0,2,2,2,2,1,4,1,11
常规赛,7,76人,负,波尔津吉斯,31,10/19,2/6,7/8,4,2,6,3,4,0,0,1,29
