场次,类型,时间,对手,主客场,比分,胜负
1,常规赛,2023/10/26 7:00,尼克斯,客场,104-108,胜
2,常规赛,2023/10/28 7:30,热火,主场,119-111,胜
3,常规赛,2023/10/31 7:00,奇才,客场,107-126,胜
4,常规赛,2023/11/2 7:30,步行者,主场,155-104,胜
5,常规赛,2023/11/5 8:00,篮网,客场,114-124,胜
6,常规赛,2023/11/7 9:00,森林狼,客场,114-109,负
7,常规赛,2023/11/9 8:00,76人,客场,106-103,负
8,常规赛,2023/11/11 8:30,篮网,主场,121-107,胜
9,常规赛,2023/11/12 8:00,猛龙,主场,117-94,胜
10,常规赛,2023/11/14 8:30,尼克斯,主场,114-98,胜
11,常规赛,2023/11/16 8:30,76人,客场,107-117,胜
12,常规赛,2023/11/18 8:30,猛龙,客场,105-108,胜
13,常规赛,2023/11/20 9:00,灰熊,客场,100-102,胜
14,常规赛,2023/11/21 8:00,黄蜂,客场,121-118,负
15,常规赛,2023/11/23 8:30,雄鹿,主场,119-116,胜
16,常规赛,2023/11/25 3:30,魔术,客场,113-96,负
17,常规赛,2023/11/27 7:00,老鹰,主场,113-103,胜
18,常规赛,2023/11/29 8:30,公牛,主场,124-97,胜
19,常规赛,2023/12/2 8:30,76人,主场,125-119,胜
20,常规赛,2023/12/5 8:30,步行者,客场,122-112,负
21,常规赛,2023/12/9 8:30,尼克斯,主场,133-123,胜
22,常规赛,2023/12/13 8:30,骑士,主场,120-113,胜
23,常规赛,2023/12/15 8:30,骑士,主场,116-107,胜
24,常规赛,2023/12/16 8:30,魔术,主场,128-111,胜
25,常规赛,2023/12/18 4:00,魔术,主场,114-97,胜
26,常规赛,2023/12/20 11:00,勇士,客场,132-126,负
27,常规赛,2023/12/21 11:00,国王,客场,119-144,胜
28,常规赛,2023/12/24 4:30,快船,客场,108-145,胜
29,常规赛,2023/12/26 6:00,湖人,客场,115-126,胜
30,常规赛,2023/12/29 8:30,活塞,主场,128-122,胜
31,常规赛,2023/12/30 8:30,猛龙,主场,120-118,胜
32,常规赛,2024/1/1 8:00,马刺,客场,101-134,胜
33,常规赛,2024/1/3 9:00,雷霆,客场,127-123,负
34,常规赛,2024/1/6 8:00,爵士,主场,126-97,胜
35,常规赛,2024/1/7 8:00,步行者,客场,101-118,胜
36,常规赛,2024/1/9 8:00,步行者,客场,133-131,负
37,常规赛,2024/1/11 8:00,森林狼,主场,127-120,胜
38,常规赛,2024/1/12 8:30,雄鹿,客场,135-102,负
39,常规赛,2024/1/14 8:00,火箭,主场,145-113,胜
40,常规赛,2024/1/16 8:30,猛龙,客场,96-105,胜
41,常规赛,2024/1/18 8:30,马刺,主场,117-98,胜
42,常规赛,2024/1/20 8:30,掘金,主场,100-102,负
43,常规赛,2024/1/22 8:00,火箭,客场,107-116,胜
44,常规赛,2024/1/23 9:30,独行侠,客场,110-119,胜
45,常规赛,2024/1/26 8:30,热火,客场,110-143,胜
46,常规赛,2024/1/28 8:00,快船,主场,96-115,负
47,常规赛,2024/1/30 8:30,鹈鹕,主场,118-112,胜
48,常规赛,2024/1/31 8:30,步行者,主场,129-124,胜
49,常规赛,2024/2/2 8:30,湖人,主场,105-114,负
50,常规赛,2024/2/5 7:00,灰熊,主场,131-91,胜
51,常规赛,2024/2/8 8:30,老鹰,主场,125-117,胜
52,常规赛,2024/2/10 8:30,奇才,主场,133-129,胜
53,常规赛,2024/2/12 3:00,热火,客场,106-110,胜
54,常规赛,2024/2/14 8:30,篮网,客场,110-118,胜
55,常规赛,2024/2/15 8:30,篮网,主场,136-86,胜
56,常规赛,2024/2/23 9:00,公牛,客场,112-129,胜
57,常规赛,2024/2/25 9:30,尼克斯,客场,102-116,胜
58,常规赛,2024/2/28 8:30,76人,主场,117-99,胜
59,常规赛,2024/3/2 8:30,独行侠,主场,138-110,胜
60,常规赛,2024/3/4 4:30,勇士,主场,140-88,胜
61,常规赛,2024/3/6 8:30,骑士,客场,105-104,负
62,常规赛,2024/3/8 11:00,掘金,客场,115-109,负
63,常规赛,2024/3/10 9:30,太阳,客场,107-117,胜
64,常规赛,2024/3/12 10:30,开拓者,客场,99-121,胜
65,常规赛,2024/3/13 9:00,爵士,客场,107-123,胜
66,常规赛,2024/3/15 7:30,太阳,主场,127-112,胜
67,常规赛,2024/3/18 6:00,奇才,客场,104-130,胜
68,常规赛,2024/3/19 7:30,活塞,主场,119-94,胜
69,常规赛,2024/3/21 7:30,雄鹿,主场,122-119,胜
70,常规赛,2024/3/23 7:00,活塞,客场,102-129,胜
71,常规赛,2024/3/24 8:00,公牛,客场,113-124,胜
72,常规赛,2024/3/26 7:30,老鹰,客场,120-118,负
73,常规赛,2024/3/29 7:30,老鹰,客场,123-122,负
74,常规赛,2024/3/31 5:00,鹈鹕,客场,92-104,胜
75,常规赛,2024/4/2 7:00,黄蜂,客场,104-118,胜
76,常规赛,2024/4/4 7:30,雷霆,主场,135-100,胜
77,常规赛,2024/4/6 7:30,国王,主场,101-100,胜
78,常规赛,2024/4/8 6:00,开拓者,主场,124-107,胜
79,常规赛,2024/4/10 7:30,雄鹿,客场,104-91,负
80,常规赛,2024/4/12 7:30,尼克斯,主场,109-118,负
81,常规赛,2024/4/13 7:30,黄蜂,主场,131-98,胜
82,常规赛,2024/4/15 1:00,奇才,主场,132-122,胜
